ID,STATE_NAME,ST_ABBREV,MINORPCT,LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_MINORPCT,P_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,tract_geoid10,LIFEEXP_SE,NEG_LIFEEXP,Index_Raw,Index_5_Ptiles,Index_4_Ptiles,Index_best_Ptiles,PCA_Index_V1,PCA_Index_V2
230050017004,Maine,ME,0.036211699,NA,24.2339833,0.4683841,0,1.7567567999999998,7.947201285,NA,43.8141557,5.1210092209999996,45.3531987,22.67641033,23005001700,NA,NA,NA,NA,29.24119348775,29.24119348775,NA,NA
230050018001,Maine,ME,0.148028442,77.9,18.7336815,7.5418994,1.2080537,0,28.69958921,59.8131147730105,33.12425029,44.09744808,50.63266806,11.7753852,23005001800,1.9809,72.1,19.91672692,39.888573280602095,34.9074379075,39.888573280602095,45.33336110095927,86.36125571140798
230050018002,Maine,ME,0.061664954,77.9,15.4162384,1.7060367,0,2.4013722,13.34304476,59.8131147730105,26.32622655,10.95204914,45.3531987,30.07096094,23005001800,1.9809,72.1,18.324729459999997,34.5031100206021,28.175608832499996,34.5031100206021,40.89615767983735,69.60495297976755
230050018003,Maine,ME,0.125482625,77.9,21.4285714,5.7309942000000005,0,3.7257824,25.06197117,59.8131147730105,38.4655858,34.76191706,45.3531987,44.8326132,23005001800,1.9809,72.1,20.5970696,44.6452859066021,40.85332869,44.6452859066021,46.89215598127998,94.50667563042506
230050019001,Maine,ME,0.18852459,81.9,27.823920299999997,4.918032800000001,0,1.6438356,34.73412362,18.9786460546196,50.35693172,30.32457216,45.3531987,21.46154702,23005001900,2.7057,68.1,20.49715774,33.29497913092392,36.8740624,33.29497913092392,47.59666280401534,72.2034988781999
230050019002,Maine,ME,0.058823529,81.9,28.1329923,1.4580802,0,4.8984468,12.80096581,18.9786460546196,50.87573042,9.515737029,45.3531987,56.39064269,23005001900,2.7057,68.1,20.517903859999997,36.22279097872392,40.53382720975,36.22279097872392,47.13155707785145,73.37420351890941
230050019003,Maine,ME,0.111470113,81.9,8.176614899999999,3.0405405,0,0,22.73801948,18.9786460546196,11.09307356,19.09480049,45.3531987,11.7753852,23005001900,2.7057,68.1,15.863431080000002,21.25902080092392,21.8291144875,21.25902080092392,34.967592753511916,40.59984909568708
230050019004,Maine,ME,0,81.9,20.6378987,0,0,0,1.500971101,18.9786460546196,36.88283673,4.579298546,45.3531987,11.7753852,23005001900,2.7057,68.1,17.74757974,23.51387304612392,24.647679794,23.51387304612392,40.350872818631494,47.26715333784593
230050020011,Maine,ME,0.175291545,74.2,30.277986499999997,10.1259182,4.598737600000001,1.9164956,32.8262431,88.3492484798546,54.56119578,55.01093205,70.42068667,24.46491323,23005002001,1.3623,75.8,24.54382758,58.561395241970914,51.1144319325,58.561395241970914,56.46999152097959,126.62162177236698
230050020012,Maine,ME,0.067901235,74.2,40.2777778,4.4921875,4.7244094,4.679803,14.60255739,88.3492484798546,69.42565454,27.82439505,70.88179768,54.41417776,23005002001,1.3623,75.8,25.994835539999997,62.17905470197093,55.6365062575,62.17905470197093,60.14964089930622,130.80182153175542
230050020021,Maine,ME,0.193991853,76,42.1709295,8.1967213,1.3513514,0.1131222,35.53041742,76.9477773273551,71.89440516,47.08523244,51.82771712,11.82484067,23005002002,2.617,74,25.16642488,51.91599454347103,45.6580488475,51.91599454347103,59.724842641799285,117.90347083855691
230050020022,Maine,ME,0.117302053,76,28.2991202,1.7999999999999998,0,4.0816327,23.6882017,76.9477773273551,51.18423343,11.50409406,45.3531987,48.55307348,23005002002,2.617,74,21.63615058,46.70847539947102,39.1486499175,46.70847539947102,49.598106952647015,98.10396566692556
230050021011,Maine,ME,0.071983063,81.4,0,0,0,9.4449854,15.39690464,23.4226943586933,0.652583844,4.579298546,45.3531987,82.95235637,23005002101,1.6306,68.6,15.60899708,31.39202636373866,33.384359365,31.39202636373866,32.44715502914077,53.63942547628461
230050021012,Maine,ME,0.034938621,81.4,5.9490085,0,0,3.4954407,7.658181756,23.4226943586933,6.968284211,4.579298546,45.3531987,42.3452757,23005002101,1.6306,68.6,15.60888984,24.53375030313866,24.81151428925,24.53375030313866,33.600536766455924,43.056907422144334
230050021013,Maine,ME,0.277936963,81.4,43.409742099999995,0.2890173,0,2.6685393,45.85929498,23.4226943586933,73.38523072,4.823069097,45.3531987,33.14826069,23005002101,1.6306,68.6,22.99345974,36.026490713138664,39.17743980175,36.026490713138664,54.47946866291856,77.43406835118728
230050021014,Maine,ME,0.162467866,81.4,4.5241810000000005,2.7102154,0,0,30.92985987,23.4226943586933,4.669355977,17.06846029,45.3531987,11.7753852,23005002101,1.6306,68.6,15.166879279999998,20.45781890513866,19.71660004175,20.45781890513866,32.95325619257197,37.88783856314067
230050021021,Maine,ME,0.329782701,81.4,33.6173839,8.6792453,3.0786773,4.599303099999999,51.33956537,23.4226943586933,60.00287815,49.19696568,63.64856104,53.60516599,23005002102,2.8011,68.6,23.71492192,49.97525304373867,56.613392715,49.97525304373867,55.06546649603076,105.64505561296232
230050021022,Maine,ME,0.349372385,81.4,55.5225149,19.7926484,17.7877429,3.2176122,53.25852279,23.4226943586933,85.69923284,79.45339121,91.42987987,39.30860533,23005002102,2.8011,68.6,32.98410368,63.86276072173865,73.97277731249999,63.86276072173865,77.16661569333505,138.49203799507026
230050021023,Maine,ME,0.163596168,81.4,15.3279293,4.2735043,16.2109375,0,31.09527119,23.4226943586933,26.12979543,26.48510801,90.31588655,11.7753852,23005002102,2.8011,68.6,20.88247422,35.62577390973866,38.676543797499995,35.62577390973866,44.71756464499208,66.30455731178465
230050022001,Maine,ME,0.145514223,76.9,11.9318182,4.8803828000000005,0,3.2092426,28.30123607,69.5049083223069,18.97939066,30.11419691,45.3531987,39.21467736,23005002200,1.7974,73.1,18.62428872,40.63327439046138,33.4153659075,40.63327439046138,41.34247886330053,83.4233057360604
230050022002,Maine,ME,0.108461898,76.9,38.5660731,8.5393258,0,1.3781223,22.19002314,69.5049083223069,67.1537146,48.55811286,45.3531987,18.74998525,23005002200,1.7974,73.1,24.31670424,49.86398394646138,44.9537528525,49.86398394646138,57.56150504097744,113.46267983943125
230050023001,Maine,ME,0.277821012,NA,54.141238,20.8086785,12.2568093,5.7488654,45.84825254,NA,84.49835664,81.02958908,86.45618439,63.49939861,23005002300,NA,NA,NA,NA,78.87088218,78.87088218,NA,NA
230050023002,Maine,ME,0.236918605,NA,30.647553100000003,11.0596026,3.3639144,3.5141329,41.10610322,NA,55.14674728,58.40756355,65.11649871,42.53419774,23005002300,NA,NA,NA,NA,55.30125182,55.30125182,NA,NA
230050024001,Maine,ME,0.050223214,86,14.5089286,1.2738854000000002,0,4.2857143,10.9749041,2.39638843661893,24.46460075,8.462250476,45.3531987,50.58317051,23005002400,3.9902,64,16.81370566,26.251921774523787,32.215805109,26.251921774523787,37.42868756528914,48.39181934755047
230050024002,Maine,ME,0,86,21.9512195,0,0,0,1.500971101,2.39638843661893,39.43984152,4.579298546,45.3531987,11.7753852,23005002400,3.9902,64,17.190243900000002,20.708822480523786,25.286930991500004,20.708822480523786,39.35631002996456,41.212264435331065
230050024003,Maine,ME,0.09495549,86,13.353115700000002,3.0651341,0,0,19.77891875,2.39638843661893,22.00219829,19.24900749,45.3531987,11.7753852,23005002400,3.9902,64,16.08364996,20.155235623323787,24.59494742,20.155235623323787,36.15476537239413,39.33783573976849
230050025011,Maine,ME,0,81.7,4.1223404,0,0,4.2895442,1.500971101,20.6465089642831,4.065501427,4.579298546,45.3531987,50.61904038,23005002501,1.1042,68.3,15.342376919999998,25.05270960345662,26.15425976325,25.05270960345662,32.740175459275264,43.04690781715412
230050025012,Maine,ME,0.012805588,81.7,15.5499368,2.0477816,0,2.3622047,3.16778521,20.6465089642831,26.60933449,13.0044033,45.3531987,29.61049441,23005002501,1.1042,68.3,17.65198462,27.044787972856614,28.644357725,27.044787972856614,39.532913020085104,53.010784840087
230050025013,Maine,ME,0.051898734,81.7,14.050632900000002,7.8703704,1.7676767999999998,4.2959427,11.33892144,20.6465089642831,23.48503767,45.59998099,55.16579237,50.67372609,23005002501,1.1042,68.3,19.25692456,39.11420921685662,43.73113428,39.11420921685662,43.02020738828272,78.71307667157963
